LOCALIDAD,BARRIO,CASA DE CULTURA,MODALIDAD,DIA,HORA
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,SEMILLAS Y FRUTOS,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,LITERATURA,miercoles,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,INICIACION MUSICAL,sabado,02:00-06:00
SURORIENTE,PASADENA,SEDE NUEVO AMANECER,BISUTERÍA Y ACCESORIOS,viernes,08:00-12:00
SURORIENTE,SAN ROQUE,I.E.D LA PRESENTACION,TEATRO,sabado,08:00-12:00
SURORIENTE,REBOLO,FUNDACION SENDEROS DE SABIDURIA,TEJIDO,martes,02:00-06:00
METROPOLITANA,LA VICTORIA,HOGAR INFANTIL LA VICTORIA,RECICLAJE Y MANUALIDADES,jueves,02:00-06:00
SURORIENTE,UNIVERSAL,ASILO HOGAR GRANJA SAN JOSE,BISUTERÍA Y ACCESORIOS,jueves,08:00-12:00
SUROCCIDENTE,NUEVA COLOMBIA,I.E.D PAULINO SALGADO BATATA,CONFECCION ARTESANAL,miercoles,02:00-06:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
METROPOLITANA,GARDENIAS,BIBLIOTECA GARDENIAS,DANZA URBANA,viernes,02:00-06:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,Maquillaje artistico,jueves,02:00-06:00
N.C.H.,CHIQUINQUIRA,CDI CHIQUINQUIRA FAMILIAR MAI,PERCUSION,miercoles,08:00-12:00
SURORIENTE,CENTRO,"FUNDACION PARA LA INVESTIGACION Y EL DESARROLLO DE LA EDUCACION ESPECIAL ""FIDES""",PERCUSION,miercoles,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,INICIACION MUSICAL,viernes,02:00-06:00
N.C.H.,CHIQUINQUIRA,CENTRO DE REHABILITACION FEMENINA EL BUEN PASTOR,RECICLAJE Y MANUALIDADES,martes,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),INSTRUMENTOS DE VIENTO,domingo,08:00-12:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),DANZA FOLCLORICA,viernes,08:00-12:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,DANZA FOLCLORICA,viernes,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,TEATRO,sabado,02:00-06:00
SUROCCIDENTE,CARLOS MEISEL,I.E.D CARLOS MEISEL,MADERA,viernes,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,INSTRUMENTOS DE VIENTO,miercoles,02:00-06:00
RIOMAR,VILLAS DE SAN PABLO,I.E.D VILLAS DE SAN PABLO,PINTURA,miercoles,02:00-06:00
N.C.H.,BARLOVENTO,I.E.D BRISAS DEL RIO,PERCUSION,martes,02:00-06:00
SUROCCIDENTE,SAN FELIPE,I.E.D HILDA MUÑOZ,ACORDEON,sabado,08:00-12:00
SURORIENTE,REBOLO,CENTRO SOCIAL  DON BOSCO,DANZA MODERNA,sabado,08:00-12:00
N.C.H.,PRADO,FUNDACION NACE UNA ESTRELLA,DIBUJO,jueves,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,LITERATURA,sabado,08:00-12:00
SUROCCIDENTE,NUEVA COLOMBIA,I.E.D PAULINO SALGADO BATATA,DANZA FOLCLORICA,domingo,08:00-12:00
N.C.H.,MODELO,CARCEL MODELO DE BARRANQUILLA,GUITARRA,miercoles,02:00-06:00
N.C.H.,EL ROSARIO,I.E.D INSTECO (INSTITUTO TECNICO DEL COMERCIO),PINTURA,sabado,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D PARA EL DESARROLLO HUMANO MARIA CANO,PERCUSION,jueves,08:00-12:00
METROPOLITANA,LA VICTORIA,I.E.D LA VICTORIA,DANZA FOLCLORICA,sabado,02:00-06:00
RIOMAR,LAS FLORES,COLEGIO LIBERTADOR SIMON BOLIVAR (FE Y ALEGRIA),DANZA MODERNA,miercoles,02:00-06:00
