LOCALIDAD,BARRIO,CASA DE CULTURA,MODALIDAD,DIA,HORA
METROPOLITANA,LAS AMERICAS,I.E.D GOLDA MEIR,DIBUJO,viernes,02:00-06:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,GUITARRA,viernes,02:00-06:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,DANZA MODERNA,viernes,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,PERCUSION,sabado,08:00-12:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),PINTURA,domingo,08:00-12:00
METROPOLITANA,CEVILLAR,I.E.D CRUZADA SOCIAL,SEMILLAS Y FRUTOS,viernes,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D MUNDO BOLIVARIANO,DANZA URBANA,sabado,02:00-06:00
RIOMAR,LA PLAYA,I.E.D EL CAÑAHUATE SEDE 1,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,LAS MALVINAS,I.E.D MUNDO BOLIVARIANO,INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
SURORIENTE,LA LUZ,I.E.D SAN MIGUEL ARCANGEL,TEATRO,sabado,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D CULTURAL LAS MALVINAS,ESCULTURA,jueves,08:00-12:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,INSTRUMENTOS DE VIENTO,jueves,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ZAPATA OLIVELLA,DANZA FOLCLORICA,domingo,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,ACORDEON,viernes,02:00-06:00
SURORIENTE,UNIVERSAL,CENTRO DE EDUCACION BASICA Y MEDIA N. 132,DANZA MODERNA,sabado,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D PARA EL DESARROLLO HUMANO MARIA CANO,DANZA FOLCLORICA,martes,08:00-12:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,GUITARRA,sabado,08:00-12:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,DANZA FOLCLORICA,miercoles,02:00-06:00
SUROCCIDENTE,LA PAZ,BIBLIOTECA LA PAZ,DANZA FOLCLORICA,jueves,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,SILENCIO,I.E.D EL SILENCIO,DANZA FOLCLORICA,sabado,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D INSTECO (INSTITUTO TECNICO DEL COMERCIO),GUITARRA,sabado,08:00-12:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,GUITARRA,sabado,02:00-06:00
SURORIENTE,GALAN,CDI NIÑO JESUS,INSTRUMENTOS DE VIENTO,martes,08:00-12:00
SUROCCIDENTE,LA PAZ,CENTRO EDUCATIVO DE HABILITACION Y REHABILITACION INTEGRAL SAN CAMILO - CE CAMILO,PERCUSION,jueves,08:00-12:00
N.C.H.,CHIQUINQUIRA,I.E.D JOSE EUSEBIO CARO,GUITARRA,sabado,02:00-06:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,DANZA FOLCLORICA,viernes,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,ESCULTURA,sabado,08:00-12:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,ACORDEON,miercoles,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,LITERATURA,sabado,08:00-12:00
METROPOLITANA,7 DE ABRIL,COLEGIO MAYOR DE BARRANQUILLA Y DEL CARIBE,GUITARRA,sabado,02:00-06:00
SUROCCIDENTE,LOS PINOS,I.E.D PARA EL DESARROLLO DEL TALENTO HUMANO,PERCUSION,jueves,02:00-06:00
METROPOLITANA,20 DE JULIO,I.E.D JESUS MISERICORDIOSO N. 1,ESCULTURA,sabado,02:00-06:00
METROPOLITANA,CEVILLAR,I.E.D CRUZADA SOCIAL,PERCUSION,viernes,08:00-12:00
SURORIENTE,LA MAGDALENA,I.E.D LA MAGDALENA,Maquillaje artistico,sabado,08:00-12:00
SURORIENTE,SIMON BOLIVAR,I.E.D LUZ DEL CARIBE,DIBUJO,viernes,02:00-06:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),GUITARRA,martes,08:00-12:00
N.C.H.,BOSTON,I.E.D CODEBA,INICIACION MUSICAL,sabado,08:00-12:00
SUROCCIDENTE,LAS MALVINAS,I.E.D CULTURAL LAS MALVINAS,GUITARRA,jueves,08:00-12:00
SUROCCIDENTE,EL BOSQUE,I.E.D LESTONNAC,DANZA MODERNA,sabado,08:00-12:00
SURORIENTE,SAN ROQUE,I.E.D LA PRESENTACION,PERCUSION,sabado,08:00-12:00
N.C.H.,CHIQUINQUIRA,JARDIN INFANTIL MI PEQUENA FANTASIA,PINTURA,martes,08:00-12:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,PERCUSION,sabado,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,PERCUSION,sabado,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,PERCUSION,sabado,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,GUITARRA,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D INMACULADA CONCEPCION,MADERA,sabado,02:00-06:00
SURORIENTE,LOS LAURELES,I.E.D LOS LAURELES,DIBUJO,sabado,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,MADERA,martes,08:00-12:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA FUNDACION PIES DELCALZOS,PINTURA,domingo,08:00-12:00
N.C.H.,CHIQUINQUIRA,JARDIN INFANTIL MI PEQUENA FANTASIA,BISUTERÍA Y ACCESORIOS,jueves,08:00-12:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,GUITARRA,jueves,02:00-06:00
N.C.H.,CHIQUINQUIRA,CDI CHIQUINQUIRA FAMILIAR MAI,LITERATURA,martes,02:00-06:00
SUROCCIDENTE,LA PAZ,CASA LUDICA LA PAZ,INSTRUMENTOS DE VIENTO,martes,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,CONFECCION ARTESANAL,sabado,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,PERCUSION,sabado,02:00-06:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),PERCUSION,jueves,08:00-12:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,GUITARRA,jueves,02:00-06:00
SURORIENTE,REBOLO,I.E.D ALFONSO LOPEZ,PERCUSION,martes,02:00-06:00
RIOMAR,VILLAS DE SAN PABLO,I.E.D VILLAS DE SAN PABLO,TEATRO,miercoles,02:00-06:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,PINTURA,sabado,02:00-06:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,DANZA MODERNA,sabado,02:00-06:00
SURORIENTE,LA LUZ,I.E.D SAN MIGUEL ARCANGEL,PERCUSION,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,MADERA,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D SANTO DOMINGO DE GUZMAN,DANZA MODERNA,sabado,08:00-12:00
SUROCCIDENTE,LIPAYA,I.E.D JOSE MARIA VELAZ,DANZA URBANA,jueves,02:00-06:00
SURORIENTE,REBOLO,FUNDACION SENDEROS DE SABIDURIA,SEMILLAS Y FRUTOS,jueves,02:00-06:00
SURORIENTE,EL FERRY,CDI LA MILAGROSA FERRY,DANZA FOLCLORICA,miercoles,08:00-12:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,GUITARRA,miercoles,02:00-06:00
SURORIENTE,REBOLO,CENTRO SOCIAL  DON BOSCO,DANZA URBANA,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,SEMILLAS Y FRUTOS,sabado,08:00-12:00
SUROCCIDENTE,SAN JOSE,I.E.D GABRIEL GARCIA MARQUEZ,PINTURA,domingo,08:00-12:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,PINTURA,jueves,02:00-06:00
SURORIENTE,SAN ROQUE,I.E.D LA PRESENTACION,CONFECCION ARTESANAL,sabado,08:00-12:00
METROPOLITANA,20 DE JULIO,I.E.D JESUS MISERICORDIOSO N. 1,TEATRO,sabado,02:00-06:00
SUROCCIDENTE,CARLOS MEISEL,CDI CARLOS MEISEL,CONFECCION ARTESANAL,jueves,08:00-12:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,DANZA FOLCLORICA,sabado,08:00-12:00
SURORIENTE,BELLARENA,I.E.D OCTAVIO PAZ,DANZA FOLCLORICA,sabado,02:00-06:00
SURORIENTE,REBOLO,I.E.D ALFONSO LOPEZ,LITERATURA,lunes,02:00-06:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),GUITARRA,domingo,08:00-12:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA FUNDACION PIES DELCALZOS,DANZA MODERNA,domingo,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D PABLO NERUDA,INICIACION MUSICAL,sabado,02:00-06:00
SURORIENTE,LOS LAURELES,I.E.D LOS LAURELES,TEJIDO,sabado,08:00-12:00
SUROCCIDENTE,SILENCIO,I.E.D EL SILENCIO,RECICLAJE Y MANUALIDADES,sabado,08:00-12:00
SUROCCIDENTE,VILLA SAN PEDRO,I.E.D ALBERTO ASSA (BACHILLERATO),MADERA,sabado,02:00-06:00
N.C.H.,RECREO,CLUB DE LEONES DE BARRANQUILLA MONARCA,PINTURA,viernes,08:00-12:00
METROPOLITANA,GARDENIAS,BIBLIOTECA GARDENIAS,PINTURA,viernes,02:00-06:00
SURORIENTE,LA UNION,CENTRO DE ATENCION SUPERAR,RECICLAJE Y MANUALIDADES,jueves,08:00-12:00
N.C.H.,BELLAVISTA,I.E.D PESTALOZZI,LITERATURA,jueves,08:00-12:00
RIOMAR,LAS FLORES,I.E.D LAS FLORES,PINTURA,martes,02:00-06:00
RIOMAR,SAN SALVADOR,I.E.D INEDISSA (SEDE A),BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,DANZA FOLCLORICA,sabado,08:00-12:00
METROPOLITANA,SAN LUIS,I.E.D SAN LUIS BACHILLERATO,DANZA FOLCLORICA,sabado,08:00-12:00
N.C.H.,MODELO,CARCEL MODELO DE BARRANQUILLA,PERCUSION,miercoles,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,TEATRO,sabado,08:00-12:00
SUROCCIDENTE,SAN JOSE,I.E.D GABRIEL GARCIA MARQUEZ,PERCUSION,domingo,08:00-12:00
METROPOLITANA,CEVILLAR,I.E.D CRUZADA SOCIAL,DANZA FOLCLORICA,jueves,08:00-12:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,PERCUSION,sabado,02:00-06:00
RIOMAR,LAS FLORES,INSTITUTO LAS FLORES,PERCUSION,miercoles,02:00-06:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,DIBUJO,sabado,02:00-06:00
SURORIENTE,LAS NIEVES,COLEGIO TECNICO DIVERSIFICADO DE BARRANQUILLA,DIBUJO,sabado,02:00-06:00
SUROCCIDENTE,CARLOS MEISEL,HOGAR INFANTIL CARLOS MEISEL (FE Y ALEGRIA),TEATRO,jueves,08:00-12:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ELKIN PATARROYO,DANZA URBANA,domingo,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,PINTURA,sabado,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,DANZA FOLCLORICA,sabado,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,LITERATURA,martes,02:00-06:00
SURORIENTE,UNIVERSAL,CENTRO DE EDUCACION BASICA Y MEDIA N. 132,DANZA FOLCLORICA,sabado,08:00-12:00
SUROCCIDENTE,LOS OLIVOS,I.E.D JUAN ACOSTA SOLERA,PERCUSION,sabado,08:00-12:00
N.C.H.,BOSTON,HOGAR SANTA ELENA,CONFECCION ARTESANAL,martes,08:00-12:00
SUROCCIDENTE,SOURDIS,I.E.D EVARISTO SOURDIS,INICIACION MUSICAL,sabado,08:00-12:00
METROPOLITANA,LA VICTORIA,I.E.D LA VICTORIA,GUITARRA,sabado,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,GUITARRA,martes,02:00-06:00
RIOMAR,SAN SALVADOR,I.E.D INEDISSA (SEDE A),Maquillaje artistico,viernes,02:00-06:00
SUROCCIDENTE,LAS MALVINAS,I.E.D CULTURAL LAS MALVINAS,RECICLAJE Y MANUALIDADES,jueves,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D PARA EL DESARROLLO HUMANO MARIA CANO,GUITARRA,jueves,08:00-12:00
METROPOLITANA,7 DE ABRIL,FUNDACION INFANCIA FELIZ,DANZA FOLCLORICA,viernes,08:00-12:00
SURORIENTE,UNIVERSAL,ASILO HOGAR GRANJA SAN JOSE,INSTRUMENTOS DE VIENTO,viernes,08:00-12:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),PERCUSION,martes,08:00-12:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,TEATRO,lunes,02:00-06:00
METROPOLITANA,CARRIZAL,I.E.D DE CARRIZAL,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,POR FIN,I.E.D MANUEL ELKIN PATARROYO,DANZA FOLCLORICA,domingo,08:00-12:00
METROPOLITANA,SANTA MARIA,I.E.D SANTA MARIA,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,INICIACION MUSICAL,viernes,02:00-06:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,PINTURA,sabado,02:00-06:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),CIRCO,martes,02:00-06:00
SUROCCIDENTE,LA PAZ,CENTRO EDUCATIVO DE HABILITACION Y REHABILITACION INTEGRAL SAN CAMILO - CE CAMILO,ESCULTURA,miercoles,08:00-12:00
RIOMAR,LA PLAYA,I.E.D SAN VICENTE DE PAUL,DANZA MODERNA,sabado,08:00-12:00
RIOMAR,SAN SALVADOR,I.E.D INEDISSA (SEDE A),GUITARRA,martes,02:00-06:00
METROPOLITANA,CARRIZAL,CDI FUNDACION SOCIAL JAIPRIS,PINTURA,martes,08:00-12:00
SUROCCIDENTE,LA PRADERA,I.E.D BETZABE ESPINOSA,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,LIPAYA,I.E.D JOSE MARIA VELAZ,TEJIDO,jueves,02:00-06:00
RIOMAR,LA PLAYA,INSTITUCION EDUCATIVA CRISTIANA LA ROSA DE SARON,DANZA MODERNA,jueves,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CCEBM 187,MADERA,miercoles,02:00-06:00
RIOMAR,PINAR DEL RIO,I.E.D PINAR DEL RIO (FE Y ALEGRIA),CIRCO,sabado,08:00-12:00
SURORIENTE,EL FERRY,CDI LA MILAGROSA FERRY,PERCUSION,miercoles,08:00-12:00
SURORIENTE,REBOLO,I.E.D ALFONSO LOPEZ,DANZA FOLCLORICA,martes,02:00-06:00
RIOMAR,PINAR DEL RIO,I.E.D PINAR DEL RIO (FE Y ALEGRIA),GUITARRA,sabado,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D PARA EL DESARROLLO HUMANO MARIA CANO,PINTURA,jueves,02:00-06:00
SURORIENTE,SAN JOSE,I.E.D SAN JOSE,DIBUJO,viernes,02:00-06:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,MADERA,sabado,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,INSTRUMENTOS DE VIENTO,sabado,08:00-12:00
N.C.H.,BARLOVENTO,BIBLIOTECA PILOTO PLAZA DE LA ADUANA,BISUTERÍA Y ACCESORIOS,viernes,02:00-06:00
SURORIENTE,LA CEIBA,I.E.D MEIRA DEL MAR,GUITARRA,sabado,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D INMACULADA CONCEPCION,PINTURA,sabado,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,GUITARRA,viernes,02:00-06:00
RIOMAR,VILLAS DE SAN PABLO,CDI VILLAS DE SAN PABLO,TEATRO,miercoles,08:00-12:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 2,MADERA,jueves,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,DANZA FOLCLORICA,sabado,02:00-06:00
SURORIENTE,UNIVERSAL,CENTRO DE EDUCACION BASICA Y MEDIA N. 132,PERCUSION,sabado,08:00-12:00
N.C.H.,RECREO,CLUB DE LEONES DE BARRANQUILLA MONARCA,GUITARRA,viernes,08:00-12:00
SUROCCIDENTE,LA ESMERALDA,CDI LA ESMERALDA,PERCUSION,jueves,08:00-12:00
N.C.H.,MONTECRISTO,I.E.D INSTITUTO TECNICO NACIONAL DE COMERCIO (INSTENALCO),PERCUSION,sabado,02:00-06:00
N.C.H.,CHIQUINQUIRA,CDI CHIQUINQUIRA FAMILIAR MAI,DANZA MODERNA,martes,08:00-12:00
SUROCCIDENTE,CARLOS MEISEL,CDI CARLOS MEISEL,PERCUSION,jueves,08:00-12:00
METROPOLITANA,VILLA  SAN PEDRO 2,I.E.D COSTA CARIBE,Maquillaje artistico,sabado,08:00-12:00
SURORIENTE,REBOLO,FUNDACION SENDEROS DE SABIDURIA,DANZA FOLCLORICA,martes,02:00-06:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,ACORDEON,sabado,02:00-06:00
SUROCCIDENTE,LA MANGA,BIBLIOTECA POPULAR LA MANGA,CONFECCION ARTESANAL,martes,02:00-06:00
N.C.H.,PRADO,FUNDACION NACE UNA ESTRELLA,PERCUSION,miercoles,02:00-06:00
N.C.H.,BOSTON,I.E.D CODEBA,GUITARRA,sabado,08:00-12:00
N.C.H.,EL ROSARIO,I.E.D CODEBA SEDE UNIVERSIDAD DEL ATLANTICO,PERCUSION,jueves,08:00-12:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),DANZA FOLCLORICA,miercoles,02:00-06:00
METROPOLITANA,LAS AMERICAS,I.E.D GOLDA MEIR,INSTRUMENTOS DE VIENTO,jueves,02:00-06:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,GUITARRA,sabado,08:00-12:00
SUROCCIDENTE,LA PAZ,BIBLIOTECA LA PAZ,TEATRO,jueves,02:00-06:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,DANZA FOLCLORICA,jueves,02:00-06:00
SURORIENTE,SIMON BOLIVAR,I.E.D JORGE ISAACS,PERCUSION,sabado,08:00-12:00
RIOMAR,VILLAS DE SAN PABLO,I.E.D VILLAS DE SAN PABLO,DANZA MODERNA,sabado,02:00-06:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),GUITARRA,miercoles,02:00-06:00
RIOMAR,LAS FLORES,INSTITUTO LAS FLORES,PINTURA,miercoles,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,CDI CIUDADELA 20 DE JULIO,PERCUSION,jueves,08:00-12:00
METROPOLITANA,SANTUARIO,CASA DE LA JUVENTUD SANTUARIO,Maquillaje artistico,domingo,08:00-12:00
SUROCCIDENTE,EL BOSQUE,CENTRO PENITENCIARIO EL BOSQUE,INICIACION MUSICAL,viernes,08:00-12:00
SUROCCIDENTE,ALFONSO LOPEZ,I.E.D KARL PARRISH,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,SANTO DOMINGO,I.E.D JOSE CONSUEGRA HIGGINS,TEJIDO,sabado,08:00-12:00
SURORIENTE,LA UNION,CENTRO DE ATENCION SUPERAR,DANZA FOLCLORICA,jueves,08:00-12:00
SURORIENTE,LOS TRUPILLOS,I.E.D LAS NIEVES (PRIMARIA),PERCUSION,domingo,08:00-12:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,GUITARRA,viernes,08:00-12:00
METROPOLITANA,SANTA MARIA,I.E.D SANTA MARIA,CONFECCION ARTESANAL,sabado,02:00-06:00
SUROCCIDENTE,SAN FELIPE,I.E.D HILDA MUÑOZ,DANZA FOLCLORICA,sabado,02:00-06:00
SUROCCIDENTE,CALIFORNIA,HOGAR INFANTIL LAS MALVINAS (FE Y ALEGRIA),PINTURA,jueves,08:00-12:00
RIOMAR,VILLAS DE SAN PABLO,BIBLIOTECA VILLAS DE SAN PABLO,RECICLAJE Y MANUALIDADES,viernes,02:00-06:00
METROPOLITANA,7 DE ABRIL,FUNDACION INFANCIA FELIZ,GUITARRA,viernes,08:00-12:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,GUITARRA,sabado,08:00-12:00
SURORIENTE,LAS NIEVES,I.E.D NUESTRA SEÑORA DE LAS NIEVES,TEJIDO,sabado,08:00-12:00
METROPOLITANA,20 DE JULIO,I.E.D JESUS MISERICORDIOSO N. 1,PERCUSION,sabado,02:00-06:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D SALVADOR ENTREGAS,PINTURA,viernes,02:00-06:00
SURORIENTE,EL FERRY,CDI LA MILAGROSA FERRY,BISUTERÍA Y ACCESORIOS,miercoles,08:00-12:00
N.C.H.,BOSTON,I.E.D CODEBA,PINTURA,sabado,08:00-12:00
SUROCCIDENTE,LA PAZ,BIBLIOTECA LA PAZ,LITERATURA,jueves,02:00-06:00
SURORIENTE,LAS PALMAS,I.E.D RODOLFO LLINAS RIASCOS,PERCUSION,sabado,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,CDI CIUDADELA 20 DE JULIO,DANZA FOLCLORICA,miercoles,08:00-12:00
SURORIENTE,CAMPITO,I.E.D EL CAMPITO,DANZA FOLCLORICA,sabado,02:00-06:00
METROPOLITANA,CEVILLAR,I.E.D SIMON BOLIVAR,DANZA FOLCLORICA,sabado,08:00-12:00
RIOMAR,JUAN MINA,I.E.D JUAN MINA,INSTRUMENTOS DE VIENTO,sabado,02:00-06:00
SUROCCIDENTE,SAN FELIPE,I.E.D HILDA MUÑOZ,CONFECCION ARTESANAL,sabado,02:00-06:00
METROPOLITANA,CIUDADELA 20 DE JULIO,I.E.D CIUDADELA  20 DE JULIO,DANZA URBANA,sabado,08:00-12:00
METROPOLITANA,SANTO DOMINGO,I.E.D SANTO DOMINGO DE GUZMAN,PINTURA,sabado,08:00-12:00
SUROCCIDENTE,SAN FELIPE,I.E.D HILDA MUÑOZ,PERCUSION,sabado,08:00-12:00
SUROCCIDENTE,LA PAZ,BIBLIOTECA LA PAZ,MADERA,jueves,02:00-06:00
METROPOLITANA,7 DE ABRIL,HOGAR INFANTIL SAN PEDRO CLAVER (FE Y ALEGRIA),INICIACION MUSICAL,martes,08:00-12:00
N.C.H.,CHIQUINQUIRA,JARDIN INFANTIL MI PEQUENA FANTASIA,GUITARRA,miercoles,08:00-12:00
SUROCCIDENTE,PUMAREJO (BUENA ESPERANZA),I.E.D JAVIER SANCHEZ,DANZA FOLCLORICA,sabado,02:00-06:00
SURORIENTE,ALBORAYA 2,I.E.D CASTILLO DE LA ALBORAYA,CONFECCION ARTESANAL,sabado,02:00-06:00
METROPOLITANA,LA SIERRITA,I.E.D JESUS DE NAZARETH SEDE 1,PINTURA,sabado,02:00-06:00
SUROCCIDENTE,CALIFORNIA,HOGAR INFANTIL LAS MALVINAS (FE Y ALEGRIA),PERCUSION,jueves,08:00-12:00
SURORIENTE,LAS PALMAS,I.E.D MARCO FIDEL SUAREZ,PINTURA,sabado,08:00-12:00
SUROCCIDENTE,LOS PINOS,I.E.D SALVADOR SUAREZ SUAREZ,BISUTERÍA Y ACCESORIOS,sabado,02:00-06:00
N.C.H.,SANTA ANA,I.E.D DEL DESARROLLO HUMANO Y CULTURAL DEL CARIBE,DANZA FOLCLORICA,jueves,02:00-06:00
SUROCCIDENTE,SAN JOSE,I.E.D GABRIEL GARCIA MARQUEZ,TEJIDO,domingo,08:00-12:00
METROPOLITANA,CAYENAS,MEGACOLEGIO GERMAN VARGAS CANTILLO (FE Y ALEGRIA),RECICLAJE Y MANUALIDADES,miercoles,02:00-06:00
METROPOLITANA,LAS GRANJAS,I.E.D LAS GRANJAS,PINTURA,jueves,02:00-06:00
METROPOLITANA,ALBORAYA,HOGAR INFANTIL LA UNION,DANZA FOLCLORICA,martes,08:00-12:00
SUROCCIDENTE,SOURDIS,I.E.D EVARISTO SOURDIS,DANZA FOLCLORICA,sabado,08:00-12:00
METROPOLITANA,LA VICTORIA,I.E.D LA VICTORIA,LITERATURA,martes,02:00-06:00
N.C.H.,EL ROSARIO,I.E.D INSTECO (INSTITUTO TECNICO DEL COMERCIO),BISUTERÍA Y ACCESORIOS,sabado,08:00-12:00
